Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1980-81;Dallas Mavericks;17;Ollie Mack;SG;6-3;185;June 6, 1957;us;1;East Carolina University
1980-81;Dallas Mavericks;43;Stan Pietkiewicz;SG;6-5;200;July 14, 1956;us;2;Auburn
1980-81;Dallas Mavericks;54;Bill Robinzine;PF;6-7;230;January 20, 1953;us;5;DePaul
1980-81;Dallas Mavericks;33, 34;Jim Spanarkel;SF;6-5;190;June 28, 1957;us;1;Duke
1980-81;Dallas Mavericks;31;Richard Washington;PF;6-11;220;July 15, 1955;us;4;UCLA
1980-81;Dallas Mavericks;54;Jerome Whitehead;C;6-10;220;September 30, 1956;us;2;Marquette
1981-82;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;R;DePaul
1981-82;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;R;Kansas State
1981-82;Dallas Mavericks;23;Allan Bristow;SF;6-7;210;August 23, 1951;us;8;Virginia Tech
1981-82;Dallas Mavericks;43;Wayne Cooper;C;6-10;220;November 16, 1956;us;3;New Orleans
1981-82;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;4;Maryland
1981-82;Dallas Mavericks;53;Clarence Kea;PF;6-6;218;February 2, 1959;us;1;Lamar
1981-82;Dallas Mavericks;25;Tom LaGarde;C;6-10;220;February 10, 1955;us;4;UNC
1981-82;Dallas Mavericks;44;Scott Lloyd;PF;6-10;230;December 19, 1952;us;4;Arizona State
1981-82;Dallas Mavericks;17;Ollie Mack;SG;6-3;185;June 6, 1957;us;2;East Carolina University
1981-82;Dallas Mavericks;40;Kurt Nimphius;C;6-10;218;March 13, 1958;us;R;Arizona State
1981-82;Dallas Mavericks;34;Jim Spanarkel;SG;6-5;190;June 28, 1957;us;2;Duke
1981-82;Dallas Mavericks;33;Elston Turner;SF;6-5;190;June 10, 1959;us;R;Ole Miss
1981-82;Dallas Mavericks;31;Jay Vincent;PF;6-7;220;June 10, 1959;us;R;Michigan State
1982-83;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;1;DePaul
1982-83;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;1;Kansas State
1982-83;Dallas Mavericks;23;Allan Bristow;SF;6-7;210;August 23, 1951;us;9;Virginia Tech
1982-83;Dallas Mavericks;42;Pat Cummings;C;6-9;230;July 11, 1956;us;3;Cincinnati
1982-83;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;5;Maryland
1982-83;Dallas Mavericks;20;Bill Garnett;C;6-9;225;April 22, 1960;us;R;Wyoming
1982-83;Dallas Mavericks;44;Scott Lloyd;C;6-10;230;December 19, 1952;us;5;Arizona State
1982-83;Dallas Mavericks;40;Kurt Nimphius;C;6-10;218;March 13, 1958;us;1;Arizona State
1982-83;Dallas Mavericks;14;Kelvin Ransey;PG;6-1;170;May 3, 1958;us;2;Ohio State
1982-83;Dallas Mavericks;34;Jim Spanarkel;SG;6-5;190;June 28, 1957;us;3;Duke
1982-83;Dallas Mavericks;25;Corny Thompson;PF;6-8;225;February 5, 1960;us;R;UConn
1982-83;Dallas Mavericks;33;Elston Turner;SF;6-5;190;June 10, 1959;us;1;Ole Miss
1982-83;Dallas Mavericks;31;Jay Vincent;PF;6-7;220;June 10, 1959;us;1;Michigan State
1983-84;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;2;DePaul
1983-84;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;2;Kansas State
1983-84;Dallas Mavericks;42;Pat Cummings;PF;6-9;230;July 11, 1956;us;4;Cincinnati
1983-84;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;6;Maryland
1983-84;Dallas Mavericks;14;Dale Ellis;SF;6-7;205;August 6, 1960;us;R;Tennessee
1983-84;Dallas Mavericks;20;Bill Garnett;PF;6-9;225;April 22, 1960;us;1;Wyoming
1983-84;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;R;Illinois
1983-84;Dallas Mavericks;40;Kurt Nimphius;C;6-10;218;March 13, 1958;us;2;Arizona State
1983-84;Dallas Mavericks;21;Roger Phegley;SG;6-6;205;October 16, 1956;us;5;Bradley
1983-84;Dallas Mavericks;34;Jim Spanarkel;SG;6-5;190;June 28, 1957;us;4;Duke
1983-84;Dallas Mavericks;33;Elston Turner;SF;6-5;190;June 10, 1959;us;2;Ole Miss
1983-84;Dallas Mavericks;31;Jay Vincent;SF;6-7;220;June 10, 1959;us;2;Michigan State
1983-84;Dallas Mavericks;45;Mark West;C;6-10;230;November 5, 1960;us;R;Old Dominion
1984-85;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;3;DePaul
1984-85;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;3;Kansas State
1984-85;Dallas Mavericks;55;Wallace Bryant;C;7-0;245;July 14, 1959;es;1;San Francisco
1984-85;Dallas Mavericks;32;Howard Carter;SG;6-5;215;October 26, 1961;us;1;LSU
1984-85;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;7;Maryland
1984-85;Dallas Mavericks;14;Dale Ellis;SF;6-7;205;August 6, 1960;us;1;Tennessee
1984-85;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;1;Illinois
1984-85;Dallas Mavericks;40;Kurt Nimphius;C;6-10;218;March 13, 1958;us;3;Arizona State
1984-85;Dallas Mavericks;41;Sam Perkins;PF;6-9;235;June 14, 1961;us;R;UNC
1984-85;Dallas Mavericks;52;Charlie Sitton;SF;6-8;210;July 3, 1962;us;R;Oregon State
1984-85;Dallas Mavericks;7;Tom Sluby;SG;6-4;200;February 18, 1962;us;R;Notre Dame
1984-85;Dallas Mavericks;31;Jay Vincent;PF;6-7;220;June 10, 1959;us;3;Michigan State
1985-86;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;4;DePaul
1985-86;Dallas Mavericks;33;Uwe Blab;C;7-1;252;March 26, 1962;de;R;Indiana
1985-86;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;4;Kansas State
1985-86;Dallas Mavericks;55;Wallace Bryant;C;7-0;245;July 14, 1959;es;2;San Francisco
1985-86;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;8;Maryland
1985-86;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;5;Washington State
1985-86;Dallas Mavericks;14;Dale Ellis;SF;6-7;205;August 6, 1960;us;2;Tennessee
1985-86;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;2;Illinois
1985-86;Dallas Mavericks;43;Harold Keeling;SG;6-4;185;September 18, 1963;us;R;Santa Clara
1985-86;Dallas Mavericks;40;Kurt Nimphius;PF;6-10;218;March 13, 1958;us;4;Arizona State
1985-86;Dallas Mavericks;41;Sam Perkins;PF;6-9;235;June 14, 1961;us;1;UNC
1985-86;Dallas Mavericks;32;Detlef Schrempf;SF;6-10;235;January 21, 1963;de;R;Washington
1985-86;Dallas Mavericks;31;Jay Vincent;PF;6-7;220;June 10, 1959;us;4;Michigan State
1985-86;Dallas Mavericks;23;Bill Wennington;C;7-0;245;April 26, 1963;ca;R;St. John's
1986-87;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;5;DePaul
1986-87;Dallas Mavericks;33;Uwe Blab;C;7-1;252;March 26, 1962;de;1;Indiana
1986-87;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;5;Kansas State
1986-87;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;9;Maryland
1986-87;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;6;Washington State
1986-87;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;3;Illinois
1986-87;Dallas Mavericks;6;Myron Jackson;PG;6-3;185;May 6, 1964;us;R;Little Rock
1986-87;Dallas Mavericks;21;Dennis Nutt;PG;6-2;170;March 25, 1963;us;R;TCU
1986-87;Dallas Mavericks;44;Sam Perkins;PF;6-9;235;June 14, 1961;us;2;UNC
1986-87;Dallas Mavericks;32;Detlef Schrempf;SF;6-10;235;January 21, 1963;de;1;Washington
1986-87;Dallas Mavericks;42;Roy Tarpley;PF;6-11;230;November 28, 1964;us;R;Michigan
1986-87;Dallas Mavericks;23;Bill Wennington;C;7-0;245;April 26, 1963;ca;1;St. John's
1986-87;Dallas Mavericks;4;Al Wood;SG;6-6;193;June 2, 1958;us;5;UNC
1987-88;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;6;DePaul
1987-88;Dallas Mavericks;2;Steve Alford;PG;6-2;183;November 23, 1964;us;R;Indiana
1987-88;Dallas Mavericks;33;Uwe Blab;C;7-1;252;March 26, 1962;de;2;Indiana
1987-88;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;6;Kansas State
1987-88;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;10;Maryland
1987-88;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;7;Washington State
1987-88;Dallas Mavericks;21;Jim Farmer;SG;6-4;190;September 23, 1964;us;R;Alabama
1987-88;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;4;Illinois
1987-88;Dallas Mavericks;44;Sam Perkins;PF;6-9;235;June 14, 1961;us;3;UNC
1987-88;Dallas Mavericks;32;Detlef Schrempf;SF;6-10;235;January 21, 1963;de;2;Washington
1987-88;Dallas Mavericks;42;Roy Tarpley;PF;6-11;230;November 28, 1964;us;1;Michigan
1987-88;Dallas Mavericks;23;Bill Wennington;C;7-0;245;April 26, 1963;ca;2;St. John's
1987-88;Dallas Mavericks;24;Mark Aguirre;SF;6-6;232;December 10, 1959;us;7;DePaul
1987-88;Dallas Mavericks;4;Steve Alford;PG;6-2;183;November 23, 1964;us;1;Indiana
1987-88;Dallas Mavericks;33;Uwe Blab;C;7-1;252;March 26, 1962;de;3;Indiana
1987-88;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;7;Kansas State
1987-88;Dallas Mavericks;4;Adrian Dantley;SF;6-5;208;February 28, 1955;us;12;Notre Dame
1987-88;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;11;Maryland
1987-88;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;8;Washington State
1987-88;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;5;Illinois
1987-88;Dallas Mavericks;21;Anthony Jones;SG;6-6;195;September 13, 1962;us;1;Georgetown, UNLV
1987-88;Dallas Mavericks;44;Sam Perkins;PF;6-9;235;June 14, 1961;us;4;UNC
1987-88;Dallas Mavericks;32;Detlef Schrempf;PF;6-10;235;January 21, 1963;de;3;Washington
1987-88;Dallas Mavericks;42;Roy Tarpley;PF;6-11;230;November 28, 1964;us;2;Michigan
1987-88;Dallas Mavericks;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;10;Detroit Mercy
1987-88;Dallas Mavericks;23;Bill Wennington;C;7-0;245;April 26, 1963;ca;3;St. John's
1987-88;Dallas Mavericks;20;Morlon Wiley;PG;6-4;185;September 24, 1966;us;R;Cal State Long Beach
1987-88;Dallas Mavericks;32;Herb Williams;C;6-10;242;February 16, 1958;us;7;Ohio State
1989-90;Dallas Mavericks;2;Steve Alford;PG;6-2;183;November 23, 1964;us;2;Indiana
1989-90;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;8;Kansas State
1989-90;Dallas Mavericks;4;Adrian Dantley;SF;6-5;208;February 28, 1955;us;13;Notre Dame
1989-90;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;12;Maryland
1989-90;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;9;Washington State
1989-90;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;6;Illinois
1989-90;Dallas Mavericks;21;Anthony Jones;SG;6-6;195;September 13, 1962;us;2;Georgetown, UNLV
1989-90;Dallas Mavericks;7;Bob McCann;SF;6-6;244;April 22, 1964;us;R;Upsala College, Morehead State University
1989-90;Dallas Mavericks;44;Sam Perkins;SF;6-9;235;June 14, 1961;us;5;UNC
1989-90;Dallas Mavericks;42;Roy Tarpley;PF;6-11;230;November 28, 1964;us;3;Michigan
1989-90;Dallas Mavericks;5;Kelvin Upshaw;SG;6-2;180;January 24, 1963;us;1;Utah
1989-90;Dallas Mavericks;10;Mark Wade;PG;5-11;160;October 15, 1965;us;1;Oklahoma, UNLV
1989-90;Dallas Mavericks;23;Bill Wennington;C;7-0;245;April 26, 1963;ca;4;St. John's
1989-90;Dallas Mavericks;33;Randy White;PF;6-8;240;November 4, 1967;us;R;Louisiana Tech
1989-90;Dallas Mavericks;32;Herb Williams;C;6-10;242;February 16, 1958;us;8;Ohio State
1990-91;Dallas Mavericks;4;Steve Alford;PG;6-2;183;November 23, 1964;us;3;Indiana
1990-91;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;9;Kansas State
1990-91;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;13;Maryland
1990-91;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;10;Washington State
1990-91;Dallas Mavericks;2;Alex English;SF;6-8;190;January 5, 1954;us;14;South Carolina
1990-91;Dallas Mavericks;50;Jim Grandholm;PF;7-0;235;October 4, 1960;us;R;Florida, South Florida
1990-91;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;7;Illinois
1990-91;Dallas Mavericks;21;Fat Lever;SG;6-3;170;August 18, 1960;us;8;Arizona State
1990-91;Dallas Mavericks;1;Rodney McCray;PF;6-7;220;August 29, 1961;us;7;Louisville
1990-91;Dallas Mavericks;55;John Shasky;C;6-11;235;July 31, 1964;us;2;Minnesota
1990-91;Dallas Mavericks;42;Roy Tarpley;C;6-11;230;November 28, 1964;us;4;Michigan
1990-91;Dallas Mavericks;5;Kelvin Upshaw;SG;6-2;180;January 24, 1963;us;2;Utah
1990-91;Dallas Mavericks;33;Randy White;PF;6-8;240;November 4, 1967;us;1;Louisiana Tech
1990-91;Dallas Mavericks;32;Herb Williams;C;6-10;242;February 16, 1958;us;9;Ohio State
1990-91;Dallas Mavericks;34;Howard Wright;PF;6-8;220;December 20, 1967;us;R;Stanford
1991-92;Dallas Mavericks;22;Rolando Blackman;SG;6-6;190;February 26, 1959;pa;10;Kansas State
1991-92;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;14;Maryland
1991-92;Dallas Mavericks;43;Terry Davis;PF;6-9;225;June 17, 1967;us;2;Virginia Union University
1991-92;Dallas Mavericks;40;James Donaldson;C;7-2;275;August 16, 1957;gb;11;Washington State
1991-92;Dallas Mavericks;5;Tom Garrick;SG;6-2;185;July 7, 1966;us;3;Rhode Island
1991-92;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;8;Illinois
1991-92;Dallas Mavericks;35;Donald Hodge;PF;7-0;230;February 25, 1969;us;R;Temple
1991-92;Dallas Mavericks;41;Brian Howard;SF;6-6;204;October 19, 1967;us;R;NC State
1991-92;Dallas Mavericks;55;Mike Iuzzolino;PG;5-10;175;January 22, 1968;us;R;Penn State, Saint Francis University
1991-92;Dallas Mavericks;21;Fat Lever;SG;6-3;170;August 18, 1960;us;9;Arizona State
1991-92;Dallas Mavericks;1;Rodney McCray;SF;6-7;220;August 29, 1961;us;8;Louisville
1991-92;Dallas Mavericks;20;Tracy Moore;SF;6-4;200;December 28, 1965;us;R;Tulsa
1991-92;Dallas Mavericks;23;Brian Quinnett;SG;6-8;235;May 30, 1966;us;2;Washington State
1991-92;Dallas Mavericks;34;Doug Smith;PF;6-10;220;September 17, 1969;us;R;Missouri
1991-92;Dallas Mavericks;31;João Vianna;SF;6-9;215;November 15, 1966;br;R;
1991-92;Dallas Mavericks;33;Randy White;PF;6-8;240;November 4, 1967;us;2;Louisiana Tech
1991-92;Dallas Mavericks;32;Herb Williams;C;6-10;242;February 16, 1958;us;10;Ohio State
1992-93;Dallas Mavericks;23;Steve Bardo;SG;6-5;190;April 5, 1968;us;1;Illinois
1992-93;Dallas Mavericks;40;Walter Bond;SG;6-5;200;February 1, 1969;us;R;Minnesota
1992-93;Dallas Mavericks;30;Dexter Cambridge;SF;6-7;224;January 29, 1970;bs;R;Texas
1992-93;Dallas Mavericks;44;Radisav Ćurčić;C;6-10;275;September 26, 1965;rs;R;
1992-93;Dallas Mavericks;43;Terry Davis;PF;6-9;225;June 17, 1967;us;3;Virginia Union University
1992-93;Dallas Mavericks;12;Derek Harper;SG;6-4;185;October 13, 1961;us;9;Illinois
1992-93;Dallas Mavericks;35;Donald Hodge;C;7-0;230;February 25, 1969;us;1;Temple
1992-93;Dallas Mavericks;41;Brian Howard;SF;6-6;204;October 19, 1967;us;1;NC State
1992-93;Dallas Mavericks;13;Mike Iuzzolino;PG;5-10;175;January 22, 1968;us;1;Penn State, Saint Francis University
1992-93;Dallas Mavericks;24;Jim Jackson;SF;6-6;220;October 14, 1970;us;R;Ohio State
1992-93;Dallas Mavericks;23;Tim Legler;SG;6-4;200;December 26, 1966;us;2;La Salle
1992-93;Dallas Mavericks;20;Tracy Moore;SG;6-4;200;December 28, 1965;us;1;Tulsa
1992-93;Dallas Mavericks;31;Walter Palmer;C;7-1;215;October 23, 1968;us;1;Dartmouth College
1992-93;Dallas Mavericks;45;Sean Rooks;C;6-10;250;September 9, 1969;us;R;Arizona
1992-93;Dallas Mavericks;34;Doug Smith;PF;6-10;220;September 17, 1969;us;1;Missouri
1992-93;Dallas Mavericks;10;Lamont Strothers;SG;6-4;190;May 10, 1968;us;1;Christopher Newport University
1992-93;Dallas Mavericks;52;Randy White;PF;6-8;240;November 4, 1967;us;3;Louisiana Tech
1992-93;Dallas Mavericks;20;Morlon Wiley;PG;6-4;185;September 24, 1966;us;4;Cal State Long Beach
1993-94;Dallas Mavericks;6;Chucky Brown;SF;6-7;214;February 29, 1968;us;4;NC State
1993-94;Dallas Mavericks;19;Tony Campbell;SF;6-7;215;May 7, 1962;us;9;Ohio State
1993-94;Dallas Mavericks;43;Terry Davis;PF;6-9;225;June 17, 1967;us;4;Virginia Union University
1993-94;Dallas Mavericks;40;Greg Dreiling;C;7-1;250;November 7, 1962;us;7;Wichita State, Kansas
1993-94;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;10;Illinois
1993-94;Dallas Mavericks;30;Lucious Harris;SG;6-5;190;December 18, 1970;us;R;Cal State Long Beach
1993-94;Dallas Mavericks;35;Donald Hodge;C;7-0;230;February 25, 1969;us;2;Temple
1993-94;Dallas Mavericks;24;Jim Jackson;SG;6-6;220;October 14, 1970;us;1;Ohio State
1993-94;Dallas Mavericks;54;Popeye Jones;PF;6-8;250;June 17, 1970;us;R;Murray State
1993-94;Dallas Mavericks;23;Tim Legler;SG;6-4;200;December 26, 1966;us;3;La Salle
1993-94;Dallas Mavericks;21;Fat Lever;PG;6-3;170;August 18, 1960;us;10;Arizona State
1993-94;Dallas Mavericks;32;Jamal Mashburn;SF;6-8;240;November 29, 1972;us;R;Kentucky
1993-94;Dallas Mavericks;50;Darren Morningstar;C;6-10;235;April 22, 1969;us;R;United States Naval Academy, Pitt
1993-94;Dallas Mavericks;45;Sean Rooks;C;6-10;250;September 9, 1969;us;1;Arizona
1993-94;Dallas Mavericks;34;Doug Smith;PF;6-10;220;September 17, 1969;us;2;Missouri
1993-94;Dallas Mavericks;52;Randy White;PF;6-8;240;November 4, 1967;us;4;Louisiana Tech
1993-94;Dallas Mavericks;20;Morlon Wiley;PG;6-4;185;September 24, 1966;us;5;Cal State Long Beach
1993-94;Dallas Mavericks;44;Lorenzo Williams;PF;6-9;200;July 15, 1969;us;1;Stetson University
1994-95;Dallas Mavericks;1;Scott Brooks;PG;5-11;165;July 31, 1965;us;6;TCU, University of California, Irvine
1994-95;Dallas Mavericks;43;Terry Davis;PF;6-9;225;June 17, 1967;us;5;Virginia Union University
1994-95;Dallas Mavericks;7;Tony Dumas;SG;6-6;190;August 25, 1972;us;R;Missouri-Kansas City
1994-95;Dallas Mavericks;30;Lucious Harris;SG;6-5;190;December 18, 1970;us;1;Cal State Long Beach
1994-95;Dallas Mavericks;35;Donald Hodge;C;7-0;230;February 25, 1969;us;3;Temple
1994-95;Dallas Mavericks;24;Jim Jackson;SG;6-6;220;October 14, 1970;us;2;Ohio State
1994-95;Dallas Mavericks;54;Popeye Jones;PF;6-8;250;June 17, 1970;us;1;Murray State
1994-95;Dallas Mavericks;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;R;California
1994-95;Dallas Mavericks;32;Jamal Mashburn;SF;6-8;240;November 29, 1972;us;1;Kentucky
1994-95;Dallas Mavericks;21;George McCloud;SF;6-6;205;May 27, 1967;us;4;Florida State
1994-95;Dallas Mavericks;34;Doug Smith;PF;6-10;220;September 17, 1969;us;3;Missouri
1994-95;Dallas Mavericks;42;Roy Tarpley;C;6-11;230;November 28, 1964;us;5;Michigan
1994-95;Dallas Mavericks;20;Morlon Wiley;PG;6-4;185;September 24, 1966;us;6;Cal State Long Beach
1994-95;Dallas Mavericks;44;Lorenzo Williams;C;6-9;200;July 15, 1969;us;2;Stetson University
1995-96;Dallas Mavericks;1;Scott Brooks;PG;5-11;165;July 31, 1965;us;7;TCU, University of California, Irvine
1995-96;Dallas Mavericks;43;Terry Davis;PF;6-9;225;June 17, 1967;us;6;Virginia Union University
1995-96;Dallas Mavericks;7;Tony Dumas;SG;6-6;190;August 25, 1972;us;1;Missouri-Kansas City
1995-96;Dallas Mavericks;30;Lucious Harris;SG;6-5;190;December 18, 1970;us;2;Cal State Long Beach
1995-96;Dallas Mavericks;35;Donald Hodge;C;7-0;230;February 25, 1969;us;4;Temple
1995-96;Dallas Mavericks;24;Jim Jackson;SG;6-6;220;October 14, 1970;us;3;Ohio State
1995-96;Dallas Mavericks;54;Popeye Jones;PF;6-8;250;June 17, 1970;us;2;Murray State
1995-96;Dallas Mavericks;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;1;California
1995-96;Dallas Mavericks;32;Jamal Mashburn;SF;6-8;240;November 29, 1972;us;2;Kentucky
1995-96;Dallas Mavericks;21;George McCloud;SF;6-6;205;May 27, 1967;us;5;Florida State
1995-96;Dallas Mavericks;40;Loren Meyer;C;6-10;257;December 30, 1972;us;R;Iowa State
1995-96;Dallas Mavericks;4;Cherokee Parks;C;6-11;235;October 11, 1972;us;R;Duke
1995-96;Dallas Mavericks;50;Reggie Slater;PF;6-7;215;August 27, 1970;us;1;Wyoming
1995-96;Dallas Mavericks;44;Lorenzo Williams;C;6-9;200;July 15, 1969;us;3;Stetson University
1995-96;Dallas Mavericks;10;David Wood;PF;6-9;227;November 30, 1964;us;5;Nevada
1996-97;Dallas Mavericks;44;Shawn Bradley;C;7-6;235;March 22, 1972;de;3;BYU
1996-97;Dallas Mavericks;10;Sam Cassell;PG;6-3;185;November 18, 1969;us;3;Florida State
1996-97;Dallas Mavericks;5;Sasha Danilović;SG;6-5;200;February 26, 1970;ba;1;
1996-97;Dallas Mavericks;50;Greg Dreiling;C;7-1;250;November 7, 1962;us;9;Wichita State, Kansas
1996-97;Dallas Mavericks;7;Tony Dumas;SG;6-6;190;August 25, 1972;us;2;Missouri-Kansas City
1996-97;Dallas Mavericks;4;Michael Finley;SF;6-7;215;March 6, 1973;us;1;Wisconsin
1996-97;Dallas Mavericks;25;Chris Gatling;PF;6-10;220;September 3, 1967;us;5;Old Dominion
1996-97;Dallas Mavericks;45;A.C. Green;PF;6-9;220;October 4, 1963;us;11;Oregon State
1996-97;Dallas Mavericks;12;Derek Harper;PG;6-4;185;October 13, 1961;us;13;Illinois
1996-97;Dallas Mavericks;24;Jim Jackson;SG;6-6;220;October 14, 1970;us;4;Ohio State
1996-97;Dallas Mavericks;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;2;California
1996-97;Dallas Mavericks;33;Stacey King;C;6-11;230;January 29, 1967;us;7;Oklahoma
1996-97;Dallas Mavericks;32;Jamal Mashburn;SF;6-8;240;November 29, 1972;us;3;Kentucky
1996-97;Dallas Mavericks;21;George McCloud;SF;6-6;205;May 27, 1967;us;6;Florida State
1996-97;Dallas Mavericks;40;Loren Meyer;PF;6-10;257;December 30, 1972;us;1;Iowa State
1996-97;Dallas Mavericks;2;Oliver Miller;C;6-9;280;April 6, 1970;us;4;Arkansas
1996-97;Dallas Mavericks;0;Eric Montross;C;7-0;270;September 23, 1971;us;2;UNC
1996-97;Dallas Mavericks;13, 31;Martin Müürsepp;PF;6-9;235;September 26, 1974;ee;R;
1996-97;Dallas Mavericks;31;Ed O'Bannon;SF;6-8;222;August 14, 1972;us;1;UCLA
1996-97;Dallas Mavericks;14;Robert Pack;PG;6-2;180;February 3, 1969;us;5;USC
1996-97;Dallas Mavericks;6;Khalid Reeves;PG;6-3;199;July 15, 1972;us;2;Arizona
1996-97;Dallas Mavericks;44;Fred Roberts;PF;6-10;218;August 14, 1960;us;12;BYU
1996-97;Dallas Mavericks;33;Jason Sasser;SF;6-7;225;January 13, 1974;us;R;Texas Tech
1996-97;Dallas Mavericks;1;Stevin Smith;SG;6-2;208;January 24, 1972;us;R;Arizona State
1996-97;Dallas Mavericks;20;Erick Strickland;SG;6-3;210;November 25, 1973;us;R;Nebraska
1996-97;Dallas Mavericks;52;Samaki Walker;PF;6-9;240;February 25, 1976;us;R;Louisville
1996-97;Dallas Mavericks;3;Jamie Watson;SF;6-7;190;February 23, 1972;us;2;South Carolina
1997-98;Dallas Mavericks;11;Chris Anstey;C;7-0;249;January 1, 1975;au;R;
1997-98;Dallas Mavericks;44;Shawn Bradley;C;7-6;235;March 22, 1972;de;4;BYU
1997-98;Dallas Mavericks;51;Adrian Caldwell;PF;6-8;265;July 4, 1966;us;5;SMU, Lamar
1997-98;Dallas Mavericks;23;Cedric Ceballos;SF;6-6;190;August 2, 1969;us;7;Cal State Fullerton
1997-98;Dallas Mavericks;24;Hubert Davis;SG;6-5;183;May 17, 1970;us;5;UNC
1997-98;Dallas Mavericks;4;Michael Finley;SF;6-7;215;March 6, 1973;us;2;Wisconsin
1997-98;Dallas Mavericks;45;A.C. Green;PF;6-9;220;October 4, 1963;us;12;Oregon State
1997-98;Dallas Mavericks;13;Martin Müürsepp;PF;6-9;235;September 26, 1974;ee;1;
1997-98;Dallas Mavericks;3;Kevin Ollie;PG;6-4;195;December 27, 1972;us;R;UConn
1997-98;Dallas Mavericks;14;Robert Pack;PG;6-2;180;February 3, 1969;us;6;USC
1997-98;Dallas Mavericks;6;Khalid Reeves;PG;6-3;199;July 15, 1972;us;3;Arizona
1997-98;Dallas Mavericks;21;Shawn Respert;SG;6-1;195;February 6, 1972;us;2;Michigan State
1997-98;Dallas Mavericks;50;Eric Riley;C;7-0;245;June 2, 1970;us;3;Michigan
1997-98;Dallas Mavericks;7;Dennis Scott;SF;6-8;229;September 5, 1968;us;7;Georgia Tech
1997-98;Dallas Mavericks;20;Erick Strickland;SG;6-3;210;November 25, 1973;us;1;Nebraska
1997-98;Dallas Mavericks;40;Kurt Thomas;PF;6-9;230;October 4, 1972;us;2;TCU
1997-98;Dallas Mavericks;52;Samaki Walker;PF;6-9;240;February 25, 1976;us;1;Louisville
